index,open,high,low,close,tick_volume,spread,real_volume,i,local_min,local_max,roll_vol,roll_vol_mean,roll_vol_std,last_min_price,rol_min,s_rol_min,s_rol_max,stoch,candle_side,v_pattern,v_pattern_near,ppvi,rolling_ppvi,ret_n
2018-10-17 15:22:00,86440.0,86440.0,86365.0,86415.0,2891,5,9983,281899,0,0,19931.0,19995.4,908.8328818673622,86315.0,86315.0,86315.0,86690.0,0.26666666666666666,-1.0,0,1.0,True,1.0,-65.0
2018-10-18 10:50:00,85940.0,85945.0,85820.0,85840.0,5396,5,16643,282162,0,0,39744.0,22626.3,4044.9034567586723,85730.0,85730.0,85730.0,86125.0,0.27848101265822783,-1.0,0,1.0,True,1.0,-80.0
2018-10-23 09:12:00,85230.0,85290.0,85205.0,85215.0,1966,5,5852,283665,0,0,26502.0,10963.83,1525.008504373383,85030.0,85030.0,85030.0,86285.0,0.14741035856573706,-1.0,0,1.0,True,1.0,55.0
2018-10-24 17:07:00,83685.0,83695.0,83580.0,83590.0,1576,5,6423,284675,0,0,16058.0,25460.48,2039.977271621435,83490.0,83490.0,83490.0,84230.0,0.13513513513513514,-1.0,0,1.0,True,1.0,60.0
2018-10-29 10:59:00,87125.0,87205.0,87090.0,87110.0,2256,5,6030,285903,0,0,21406.0,38054.87,6042.569455817383,86865.0,86865.0,86865.0,88170.0,0.18773946360153257,-1.0,0,1.0,True,1.0,515.0
2018-10-29 16:27:00,84605.0,84625.0,84545.0,84565.0,1597,5,3742,286198,0,0,19680.0,26000.39,868.9770369361935,84525.0,84480.0,84480.0,85025.0,0.1559633027522936,-1.0,0,1.0,True,1.0,-250.0
2018-11-01 16:03:00,88775.0,88830.0,88705.0,88730.0,2079,5,7342,287776,0,0,28484.0,20844.75,1287.7905139718719,88650.0,88635.0,88635.0,89050.0,0.2289156626506024,-1.0,0,1.0,True,1.0,-15.0
2018-11-06 09:16:00,89330.0,89335.0,89250.0,89260.0,3304,5,9923,288450,0,0,30037.0,17299.1,1309.6503681016834,89065.0,89065.0,89065.0,90080.0,0.1921182266009852,-1.0,0,1.0,True,1.0,105.0
2018-11-06 09:51:00,89095.0,89095.0,89005.0,89040.0,2568,5,7672,288485,0,0,14027.0,17782.04,1074.3691418781534,88925.0,88925.0,88925.0,89460.0,0.21495327102803738,-1.0,0,1.0,True,1.0,-60.0
2018-11-06 17:46:00,89155.0,89165.0,89075.0,89085.0,1100,5,6050,288960,0,0,18413.0,17515.9,1401.5749519520296,88950.0,88950.0,88950.0,89500.0,0.24545454545454545,-1.0,0,1.0,True,1.0,70.0
2018-11-09 14:28:00,85245.0,85265.0,85210.0,85220.0,1512,5,5348,290406,0,0,19316.0,19430.81,696.9716448063689,85075.0,85075.0,85075.0,85560.0,0.29896907216494845,-1.0,0,1.0,True,1.0,70.0
2018-11-12 17:37:00,85955.0,85960.0,85910.0,85930.0,1202,5,4094,291145,0,0,23133.0,16665.67,1177.5311213201269,85880.0,85880.0,85880.0,86215.0,0.14925373134328357,-1.0,0,1.0,True,1.0,0.0
2018-11-13 11:41:00,85140.0,85150.0,85065.0,85120.0,3381,5,11001,291339,1,0,24254.0,31880.94,5617.119991583774,85065.0,85010.0,85010.0,85385.0,0.29333333333333333,-1.0,0,1.0,True,1.0,30.0
2018-11-19 13:05:00,87810.0,87830.0,87760.0,87790.0,2911,5,8484,293070,0,0,18334.0,23908.71,1024.3111327422325,87680.0,87680.0,87680.0,88100.0,0.2619047619047619,-1.0,0,1.0,True,1.0,45.0
2018-11-23 11:27:00,86955.0,86955.0,86885.0,86905.0,3035,5,8886,294619,0,0,18528.0,24704.85,4850.154699127397,86870.0,86870.0,86870.0,87170.0,0.11666666666666667,-1.0,0,1.0,True,1.0,-50.0
2018-11-23 12:10:00,86615.0,86615.0,86525.0,86565.0,4161,5,13119,294662,1,0,28581.0,25175.27,3390.282539323844,86525.0,86525.0,86525.0,86750.0,0.17777777777777778,-1.0,0,1.0,True,1.0,60.0
2018-11-23 13:41:00,86415.0,86445.0,86375.0,86375.0,1903,5,6249,294753,0,0,15374.0,19442.11,1860.2121643068838,86310.0,86310.0,86310.0,86620.0,0.20967741935483872,-1.0,0,1.0,True,1.0,-70.0
2018-11-26 11:58:00,86900.0,86900.0,86745.0,86840.0,6663,5,21408,295200,1,0,43975.0,25317.36,2485.0723508528426,86745.0,86745.0,86745.0,87150.0,0.2345679012345679,-1.0,0,1.0,True,1.0,-25.0
2018-12-03 13:47:00,90630.0,90655.0,90555.0,90580.0,2942,5,10106,298060,0,0,20819.0,23331.36,1202.905645354125,90550.0,90550.0,90550.0,90840.0,0.10344827586206896,-1.0,0,1.0,True,1.0,-70.0
2018-12-06 09:13:00,87850.0,87890.0,87825.0,87825.0,1914,5,6771,299433,0,1,26117.0,11970.08,1518.5915799556885,87515.0,87515.0,87515.0,89190.0,0.18507462686567164,-1.0,0,1.0,True,1.0,-35.0
2018-12-10 11:35:00,87590.0,87605.0,87525.0,87565.0,2183,5,6635,300675,0,0,17970.0,26403.64,3261.7179837018853,87485.0,87485.0,87485.0,88170.0,0.11678832116788321,-1.0,0,1.0,True,1.0,-5.0
2018-12-10 17:49:00,86115.0,86115.0,86035.0,86085.0,2032,5,7807,301049,1,0,16665.0,26627.45,784.2324043431031,86035.0,85980.0,85980.0,86395.0,0.25301204819277107,-1.0,0,1.0,True,1.0,60.0
2018-12-11 13:54:00,86875.0,86900.0,86805.0,86830.0,2595,5,9181,301364,0,0,24945.0,27721.65,1134.542125966806,86720.0,86720.0,86720.0,87105.0,0.2857142857142857,-1.0,0,1.0,True,1.0,85.0
2018-12-17 10:54:00,88170.0,88180.0,88065.0,88075.0,3593,5,9449,303381,0,0,22041.0,18892.56,1279.6869520190799,87995.0,87995.0,87995.0,88405.0,0.1951219512195122,-1.0,0,1.0,True,1.0,-60.0
2018-12-17 16:16:00,87725.0,87730.0,87675.0,87705.0,2806,5,10072,303703,0,0,21929.0,20626.69,910.9951061917093,87610.0,87610.0,87610.0,87970.0,0.2638888888888889,-1.0,0,1.0,True,1.0,-235.0
2018-12-19 17:20:00,87685.0,87690.0,87480.0,87565.0,6898,5,21876,304867,0,0,55642.0,34646.06,2831.2005942850396,87175.0,87175.0,87175.0,88780.0,0.24299065420560748,-1.0,0,1.0,True,1.0,90.0
2018-12-26 11:51:00,85035.0,85035.0,84955.0,84965.0,1793,5,6375,306203,0,0,25641.0,23084.43,2667.182761876192,84850.0,84850.0,84850.0,85250.0,0.2875,-1.0,0,1.0,True,1.0,-95.0
2019-01-08 11:25:00,92125.0,92130.0,91965.0,91970.0,7353,5,23094,310030,0,0,43689.0,35434.29,5587.070307537039,91890.0,91890.0,91890.0,92265.0,0.21333333333333335,-1.0,0,1.0,True,1.0,-145.0
2019-01-11 12:55:00,93885.0,93885.0,93805.0,93855.0,3071,5,11074,311767,0,0,24659.0,28891.86,779.8109944201115,93760.0,93760.0,93760.0,94100.0,0.27941176470588236,-1.0,0,1.0,True,1.0,-10.0
2019-01-15 13:27:00,94780.0,94795.0,94725.0,94750.0,4134,5,14329,312899,0,0,29802.0,28398.47,3826.667127052773,94640.0,94640.0,94640.0,95080.0,0.25,-1.0,0,1.0,True,1.0,15.0
2019-01-16 11:52:00,94310.0,94320.0,94290.0,94290.0,1014,5,3735,313354,0,0,25982.0,30761.49,4885.995604339165,94225.0,94225.0,94225.0,94495.0,0.24074074074074073,-1.0,0,1.0,True,1.0,10.0
